# GRAS free-field corrections, dB relative to the pressure response at 250 Hz.
# Source: https://www.grasacoustics.com/fileadmin-gras/downloads/GRAS_Free-field_and_Random_Incidence_Corrections.xlsx
# SHA-256 13ab5f3ccbbf1ab53774496cdcc9765e2d79180a99df50309188a7e502e7620b
# family,grid,diameterMm,frequencyHz,deg0,deg30,deg60,deg90
OneInch,Grid,25.4,500,0.01,0.001768,0.001768,0
OneInch,Grid,25.4,560,0.06,0.05305,0.017683,0
OneInch,Grid,25.4,630,0.11,0.123784,0.035367,0
OneInch,Grid,25.4,710,0.19,0.194518,0.070734,0
OneInch,Grid,25.4,800,0.27,0.247569,0.141468,0
OneInch,Grid,25.4,900,0.35,0.335986,0.212202,0
OneInch,Grid,25.4,1000,0.442087,0.40672,0.247569,0
OneInch,Grid,25.4,1120,0.530504,0.45977,0.282935,0
OneInch,Grid,25.4,1250,0.671972,0.562334,0.353669,0
OneInch,Grid,25.4,1400,0.739169,0.659593,0.452697,0
OneInch,Grid,25.4,1600,0.8771,0.739169,0.509284,0
OneInch,Grid,25.4,1800,1.004421,0.843501,0.565871,0
OneInch,Grid,25.4,2000,1.131742,0.954907,0.601238,0
OneInch,Grid,25.4,2240,1.303271,1.073386,0.70557,0
OneInch,Grid,25.4,2500,1.517241,1.276746,0.82405,0
OneInch,Grid,25.4,2800,1.748895,1.447922,0.925553,0
OneInch,Grid,25.4,3150,1.959328,1.630769,0.963218,0.03012
OneInch,Grid,25.4,3550,2.28771,1.937401,1.138462,0.087533
OneInch,Grid,25.4,4000,2.70557,2.302387,1.29443,0.112644
OneInch,Grid,25.4,4500,3.287356,2.848806,1.5084,0.19275
OneInch,Grid,25.4,5000,3.964633,3.51901,1.773652,0.287003
OneInch,Grid,25.4,5600,4.799293,4.251105,2.164456,0.367816
OneInch,Grid,25.4,6300,5.580902,5.034483,2.555261,0.530504
OneInch,Grid,25.4,7100,6.648983,5.676393,3.025641,0.558798
OneInch,Grid,25.4,8000,7.407604,6.415561,3.442971,0.535809
OneInch,Grid,25.4,9000,8.293546,7.055703,3.801945,0.116711
OneInch,Grid,25.4,10000,9.312113,7.771883,3.911583,-0.295314
OneInch,Grid,25.4,11200,10.198055,8.346596,3.833775,-0.953139
OneInch,Grid,25.4,12500,10.954907,8.972591,3.390805,-2.458002
OneInch,Grid,25.4,14000,11.423519,9.195402,2.608311,-4.878868
OneInch,Grid,25.4,16000,12.236958,9.354553,1.225818,-7.13351
OneInch,Grid,25.4,18000,13.068081,9.460654,-2.086649,-8.664898
HalfInchOpt1,Grid,12.7,500,0.040541,0.040541,0.040541,0.040541
HalfInchOpt1,Grid,12.7,560,0.031789,0.031789,0.013441,0.013441
HalfInchOpt1,Grid,12.7,630,0.037803,0.046978,0.01028,0.01028
HalfInchOpt1,Grid,12.7,710,0.043508,0.052682,0.015985,-0.002364
HalfInchOpt1,Grid,12.7,800,0.0668,0.057625,0.020928,-0.015769
HalfInchOpt1,Grid,12.7,900,0.073152,0.063977,0.008932,-0.046114
HalfInchOpt1,Grid,12.7,1000,0.086632,0.068283,-0.02346,-0.096854
HalfInchOpt1,Grid,12.7,1120,0.101851,0.046805,-0.035763,-0.145855
HalfInchOpt1,Grid,12.7,1250,0.132361,0.068141,0.00392,-0.142869
HalfInchOpt1,Grid,12.7,1400,0.166416,0.074673,0.028801,-0.154685
HalfInchOpt1,Grid,12.7,1600,0.205669,0.132274,0.05888,-0.161303
HalfInchOpt1,Grid,12.7,1800,0.257617,0.165874,0.101654,-0.173575
HalfInchOpt1,Grid,12.7,2000,0.31764,0.262594,0.152503,-0.141075
HalfInchOpt1,Grid,12.7,2240,0.396849,0.323455,0.195014,-0.126087
HalfInchOpt1,Grid,12.7,2500,0.493224,0.419829,0.263866,-0.084758
HalfInchOpt1,Grid,12.7,2800,0.602248,0.50133,0.262798,-0.095
HalfInchOpt1,Grid,12.7,3150,0.722733,0.594293,0.374109,-0.093781
HalfInchOpt1,Grid,12.7,3550,0.870529,0.668695,0.430162,-0.06525
HalfInchOpt1,Grid,12.7,4000,1.055035,0.816503,0.477053,-0.041295
HalfInchOpt1,Grid,12.7,4500,1.309232,1.034003,0.584461,-0.021043
HalfInchOpt1,Grid,12.7,5000,1.611932,1.318354,0.767896,0.052299
HalfInchOpt1,Grid,12.7,5600,1.94581,1.606361,0.954984,0.074251
HalfInchOpt1,Grid,12.7,6300,2.318188,1.923692,1.180573,0.116353
HalfInchOpt1,Grid,12.7,7100,2.80364,2.33575,1.473365,0.262356
HalfInchOpt1,Grid,12.7,8000,3.375341,2.824882,1.797359,0.494607
HalfInchOpt1,Grid,12.7,9000,4.088988,3.400914,2.2633,0.841281
HalfInchOpt1,Grid,12.7,10000,4.941551,4.189258,2.89568,1.317698
HalfInchOpt1,Grid,12.7,11200,5.909736,5.093223,3.460195,1.405149
HalfInchOpt1,Grid,12.7,12500,6.488472,5.497647,3.598564,0.974711
HalfInchOpt1,Grid,12.7,14000,7.19234,6.183166,3.85289,0.926285
HalfInchOpt1,Grid,12.7,16000,7.900018,6.780752,3.982587,0.60644
